project	issue_key	issue_type	summary	description	label
TIMOB	TIMOB-28087	New Feature	Android: Add "NoTitleBar" and "Fullscreen" themes which derive from custom app theme	"*Summary:*  The only means of opening a window without top title bar is via its ""theme"" creation property set to 1 of the below. The problem with this is that the below themes inherit from Google's dark AppCompat theme and do not use the theme assi  * {{""Theme.AppCompat.NoTitleBar""}}  * {{""Theme.AppCompat.NoTitleBar.Fullscreen""}}  * {{""Theme.AppCompat.Fullscreen""}}    The problem with the above is that the above themes inherit from Google's dark {{""Theme.AppCompat""}} theme. If you've assigned a custom theme to the {{<application/>}} element in the ""AndroidManifest.xml"", the window won't use it because you told it to use Google AppCompat derived theme instead.    *Reason this is Needed:*  Other than making it easier to remove the title bar, we also want to support Google's Material themed widgets in the near future. These widgets will throw an exception if the activity or app is not using a {{""Theme.MaterialComponents""}} derived theme and if most developers are using the {{""Theme.AppCompat""}} theme instead (like what our guides suggest), then the app will crash. We'll want to have developers transition off of these older Google themes.    *Recommended Solution:*  Create the following new themes...  * {{""Theme.Titanium.NoTitleBar""}}  * {{""Theme.Titanium.Fullscreen""}}  * {{""Theme.Titanium.Translucent.NoTitleBar""}}  * {{""Theme.Titanium.Translucent.Fullscreen""}}    _(We already have {{""Theme.Titanium.Translucent""}} defined which derives from app's theme.)_    Titanium's build system will derive the above themes from the one assigned to the {{<application/>}} in the ""AndroidManifest.xml"" as shown below. If a theme is not assigned, then they will derive from Titanium's default theme.      *Note:*  You can easily work-around this by setting up your own custom NoTitleBar theme like the below. This is easy to do, but doing the above makes removing title bars easier.    "	Design
MULE	MULE-14683	Bug	Mime Type Disappears Dissapears in VM inbound when under load	"DataType of the message is lost when messages are batch in a VM inbound endpoint."	Not Design
DNN	DNN-10827	Improvement	Add type of copy for COPY-MODULE command in promt	"Actually you have COPY-MODULE option in prompt module. but this command just copy ""as a copy"" modules between pages.    You should have an option to select between ""as a copy"" or ""as a reference"" for COPY-MODULE command.    This should be great"	Design
SERVER	SERVER-51764	Task	"Refine test cases to ensure write error retries behave as intended"	"""Refine the test cases in tenant_migration_concurrent_bulk_writes.js to retry write errors and check that they either fail or succeed accordingly when applied to a donor or recipient replica set after a tenant migration decision"""	Design
SERVER	SERVER-51716	Bug	"Make computed_projections.js more robust"	"""The computed_projections.js test checks the internalQueryEnableSlotBasedExecutionEngine setting and enables a failpoint, but it is not necessary for either of these operations to succeed for the test to run and provide meaningful coverage.    Let's allow them to fail without failing the test."""	Not Design
MESOS	MESOS-10090	Bug	Mesos build on Windows appears to be broken.	"I was told that when trying to build the latest Mesos (master - 1.10 WIP), MSVC complains about our use of domain sockets;    This entirely prevents building on MSVC while no workaround is known - declaring this as a blocker for those reasons.     "	Not Design
JRASERVER	JRASERVER-71701	Bug	Starting a foreground reindex using the REST API could corrupt a snapshot	"h3. Issue Summary    When we start the Reindex process using the REST API {{/rest/api/2/reindex?type=FOREGROUND}}, the index snapshot is still able to run on other nodes, which results in corrupt snapshots.    h3. Steps to Reproduce  # Start both JIRA nodes  # Schedule the index snapshot to run  # Initiate full locked reindex at Node1 a few minutes before the snapshot:  {code:borderStyle=solid}  curl  -X POST http://127.0.0.1:8091/rest/api/2/reindex?type=FOREGROUND  {code}  # Notice that the snapshot still happens on Node2    h3. Expected Results    The index snapshot should not run while the reindex is running.  It should either queue it up and wait for the reindex to finish, or simply handle as a conflict and not run the snapshot.    h3. Actual Results    The index snapshot runs while the reindex is running.    h3. Workaround    * When calling the reindex, make sure that the snapshot is not scheduled to run in the next minutes/hours  * Or make sure to start it from the UI, instead of the API."	Not Design
CONFSERVER	CONFSERVER-60396	Bug	Trying to download all files from a Knowledge Base article from Jira Servicedesk with an unlicensed user results in a Not Permitted message	"h3. Issue Summary    As an unlicensed user, if we try to download all attachments via the “Download All” link in the Attachments Macro, Confluence blocks the procedure with a “Not Permitted” message.  h3. Steps to Reproduce   # Create a knowledge base for Jira <USER>  # Select the “All active users and customers can access the knowledge base without a Confluence space”   # Create a new page for the knowledge base   # Place an Attachments macro in the page   # Create a user with Jira <USER>access   # If the user base is different for Confluence and Jira, create the user in Confluence as indicated by documentation ([https://confluence.<USER>servicedeskserver/knowledge-base-settings-and-permissions-956713322.html])   # Go the page you created earlier   # Click to “Download All”    h3. Expected Results    All the attachments are downloaded  h3. Actual Results    There is a redirect to an address that looks like this: localhost:8090/confluence/pages/downloadallattachments.action?pageid=<pageID> and there is a “Not Permitted” message shown.    The same behavior is present through the Customer portal.    !Screen Shot 2020-09-29 at 13.54.06.png|width=287,height=172!    !Screen Shot 2020-09-29 at 13.54.17.png|width=285,height=169!    !Screen Shot 2020-09-29 at 13.54.28.png|width=287,height=169!  h3. Workaround    The user can either click the attachment link in the macro and then download the file from the tab that opens up after the click or select to preview the file and then download it from there.    Enabling anonymous access and then not logging in to Confluence also works around this behavior.    !Screen Shot 2020-09-29 at 13.54.42.png|width=291,height=172!"	Not Design
TIMOB	TIMOB-28115	Bug	iOS: Animation on a view, that has a shadow and borderRadius with multiple values, does not work	"In recent support of borderRadius with multiple values (TIMOB-27305), animation on view that has a shadow and borderRadius with multiple values, does not work.  Detail discussion can be found  [here|https://github.com/<USER>titanium_mobile/pull/12005].    Test Case -         "	Not Design
NEXUS	NEXUS-25518	Improvement	Nexus3 cannot be easily deployed from a pipeline (immutable infrastructure)	"When I deploy Nexus3, I need to reserve three locations for possible changes:   # The ""nexus/etc"" directory for configuration changes/additions.   # The ""nexus/deploy"" directory for plugins. (""kar"" archives)   # The ""nexus-work"" directory for Nexus3's state.    For a simple example, take a deployment that wants to use GitHub Authentication, which is not uncommon. In the ""etc"" directory I need to add ""githubauth.properties"", in the ""deploy"" directory I need to put the ""nexus3-github-oauth-plugin.kar"" plugin, and the working directory will be the long-term persistent state.    The way Nexus3 is currently structured, this is very difficult to automate, as the first two are part of the software's distribution. The working directory contains an ""etc"" directory, but this is apparently not monitored for configuration files such as those belonging to plugins. The result is that for an upgrade scenario I need to extract files from the current installation and copy them into the new one. Only the work directory is fully independent. This approach is institutionalized in the installation and upgrade instructions, which assume you have a server that you can log on to, and manually change.    From maintainability and disaster recovery perspectives, this is unwanted. In order to be able to use one-button, fully automated deploys, we need to separate the static and variable content.         Suggested change is to monitor the ""etc"" sub-directory in the working directory for configuration files as well as the original, or allow a fully separate directory, so files in there override anything in the distribution. For the plugin deploy directory, a similar approach can be used, although it could more simply be moved outside of the distribution tree, since there are no plugins distributed.         As a working example, that is an admitted dirty hack, I can run Nexus3 in docker as follows:    {{docker run -d -p 8081:8081 --name nexus -v $(pwd)/etc:/opt/sonatype/nexus/etc -v $(pwd)/deploy:/opt/sonatype/nexus/deploy -v $(pwd)/nexus-data:/nexus-data sonatype/nexus3}}    This is not a recommended approach, however, as it depends on knowledge of the structure of the distribution instead of pre-defined volume mount locations. A comparable solution will also allow cleaner deployments on Kubernetes.    *NOTE* This is filed as a bug, as the current approach makes deployments to Docker (and direct derivates), Kubernetes, but also VMs (using e.g. packer) dependent on not having changes in the contents of the ""/opt/sonatype/nexus/etc"" directory during upgrades, and thus not automatable."	Design
TIMOB	TIMOB-28072	Improvement	iOS: Drop Xcode 9 and Xcode 10 support	"Apple has stated that  ""App updates must be built with the iOS 13 SDK starting June 30, 2020"" .  See the section 'Build with Xcode 11' from [here|https://developer.apple.com/ios/submit/].  Though it will be breaking change, but I think we can drop it before (probably in 9.2.0) because -  1. As per apple's statement, I think no one will be using Xcode < 11.  2. XCFramework is supported in XCdoe 11+, which we require to completely fix TIMOB-28042.  3. MacCatalyst is supported in Xcode 11+, which is required for TIMOB-27132 ."	Design
FAB	FAB-18217	Sub-task	Kubernetes - Perform Snapshot Generation With Medium Payload Using LevelDB	"Using a 1 kb load and one transaction per block send 1 million transactions to the network. Submit snapshot requests for every 200,000 blocks.    After the 5th snapshot has been taken, record the time to generate and snapshot sizes in a spreadsheet and attach to this Jira."	Design
JRASERVER	JRASERVER-71619	Suggestion	Allow the creation of a "Defined" or "Ready for Development" column outside the sprint.	"I need a column that is between the backlog and the sprint.    Call it ""Ready for Development"" or ""Defined"" or whatever.    The Backlog is where new requirements land.    The ""Defined/Ready for Development"" column is where they move after they have been force ranked and estimated.    Sprint planning involves pulling from the ""Defined/Ready for Development"".    Having this ability is a huge benefit to managing the project and should be considered a mandatory feature."	Design
DM	DM-27121	Story	MTPtg Telemetry: IDL_Type field is omitted for three attributes	"The MTPtg_Telemetry.xml file omits the <IDL_Type> field for three attributes: [mountAzError, mountElError, mountRotError].  These are required fields."	Not Design
TIMOB	TIMOB-28147	New Feature	iOS 14 App Clips extension for titanium	"App Clips may be the entry point for retail that have never jumped the App service to cater to on-premise , proximity temporary apps.    https://developer.apple.com/app-clips/    They are small (10 mb apps) that doesn’t need to be downloaded from the App Store and can be used instantly.  Even though Android has thé équivalant Instant Apps, such features would enhance greatly and bring up to speed a feature that will be ubiquitous. Even more so than regular full on apps (which are still required even for an App Clip to be attached to it).    If it is possible to do so in Ti, an Example on Axway’s Developer blog would spread it faster among us developers.    "	Design
JRASERVER	JRASERVER-69892	Suggestion	Improve indexing percentage in REST API response	"For application design reasons, it's possible that a re-index will complete, but the output of the percentage given for the REST API response will be 98% or 99%.    It would be great if Jira showed 100% instead."	Design
MESOS	MESOS-10077	Task	Cgroups isolator: allow updating and isolating resources for nested cgroups	"Allow Cgroups isolator to update and isolate resources for nested cgroups."	Not Design
MULE	MULE-14465	Enhancement Request	Make the SDK Validate extension's exported packages	"Validate extensions exported packages"	Design
DNN	DNN-10731	Improvement	Verified Registration: In case of loosing the verification email, we need to implement a workaround to resend the verification mail again	"*Description:*  According to DNN-10721, when a user looses the verification email (In case of Verified registration type), then tries to reset password the reset password link is not sent because the user is not yet verified/authorized.  So, we need to find a solution that resend the verification email again to overcome this problem.   Suggestions for the solution & steps to reproduce that is found in DNN-10721"	Design
MESOS	MESOS-10080	Task	Cgroups isolator: update cleanup logic to support nested cgroups	"Update Cgroups isolator to cleanup a nested cgroup for a nested container taking into account hierarchical layout of cgroups. Lowest nested cgroups should be destroyed first."	Not Design
FAB	FAB-18118	Bug	Missing dbname assign value in couchdb redolog struct	""	Not Design
DM	DM-27206	Story	Prepare Simulated LSST Solar System Observations for MPC integration test.	"Preparation for Solar System Processing integration test with the IAU Minor Planet Center.    Create simulated LSST observations of real Solar System Objects (MPCORB) and S3M  (Grav et al. 2011) predicted populations."	Design
JRASERVER	JRASERVER-71561	Bug	Un-favorite star in dashboard editing page is not working	"h3. Issue Summary    When trying to click the star (meaning favorite) in dashboard editing page, the star remains black(favorite), and not be able to change it to white(un-favorite).    It is no problem in version  8.6, but seems it can be reproduced in Jira 8.7 ~ 8.12.    h3. Steps to Reproduce  * Top >  Dashboards > Manage Dashboards > Create New Dashboard  * Or editing an existing dashboard    h3. Expected Results    The favorite star can be changed from black(favorite) to white(un-favorite).  h3. Actual Results    The favorite star cannot be changed, and remains black.  h3. Workaround    un-favorite the dashboard from dashboard list screen."	Not Design
FAB	FAB-18119	Task	operator supports PTEv2	"PTEv2 (FAB-17973) supports invoke and query using high level SDK and will be available soon.  Operator will need to use PTEv2 rather PTE for invoke and query."	Not Design
NEXUS	NEXUS-24937	Bug	export import documentation does not include all supported formats	"NXRM version 2.26.0 added support for Docker, PyPI, Rubygems and Yum (PRO only)  NXRM version 2.25.0 added support for npm and NuGet formats (PRO only)    The docs only reference support for RAW and Maven.    https://help.sonatype.com/repomanager3/system-configuration/tasks/repository-import  https://help.sonatype.com/repomanager3/system-configuration/tasks/repository-export    h4. Expected    Document the supported formats and the version /edition support was released in."	Not Design
SERVER	SERVER-51730	Task	"Report histogram data on how long it takes cursors to drain"	"""Report histogram data in serverStatus on cursor drain times (i.e. the time from when a cursor is created to when it is exhausted or killed)."""	Not Design
FAB	FAB-18107	Task	PTEv2 supports transientMap	"PTEv2 supports transientMap.  The format of transientMap will be similar to the one listed below:    {        ""marble"": {            ""name"":""marble"",            ""color"":""blue"",            ""size"":35,            ""owner"":""tom"",            ""price"":99        }    }    PTEv2 will need to re-assign certain keys in the Map in order to have unique asset for each transaction.     "	Not Design
JRASERVER	JRASERVER-71685	Bug	Security improvements to the Velocity Uberspector	"This ticket documents an improvement to the Velocity Uberspector's security, locking down which classes can be accessed. This change is a defence-in-depth against potential Remote Code Execution (RCE) and Injection attacks.    The versions which do not have this improvement are before version 8.12.3.    *Pre-improvement versions:*   * version < 8.12.3    *Improved versions:*   * 8.12.3   * 8.13.0   * 8.14.0"	Not Design
CONFSERVER	CONFSERVER-58551	Suggestion	Add support for Apple SSO login methods to native iOS Confluence Server app	"We support SSO login as long as the login that is being done inside the in-app web-view is successful. We can see that the for login to work the Apple-specific SSO {{AppleConnect}} extension is needed, which works with iOS Safari browser. The login fails because the in-app web-view is built from Apple's {{WKWebview}} which may not support AppleConnect extension.    The mobile app can solve this by using {{SFSafariViewController}} (even though it's deprecated) within the app, which will allow our Connect Extension to be invoked accordingly.     Apple documentation recommends using the in-app webview class {{ASWebAuthenticationSession}} for web based login authentication, but {{ASWebAuthenticationSession}} does not allow the extension.     This should be resolved with the new plugin functionality in iOS 13, but until then we would need to adopt {{SFSafariViewController}}."	Design
SERVER	SERVER-51771	Bug	"libunwind fails to build with GCC >=10.2"	"""In the newer GCC version, C globals are now not defined in the """"common"""" bss section by default. linunwind will fail to build because of multiple definitions of _U_dyn_info_list symbol. This can be fixed by either putting an extern in front of the extra defs, save a single location, or using the -fcommon option to preserve the older GCC behavior.         Suggesting using the -fcommon option for the libunwind build as that will be safer, and we wont need to modify third party vendor-ed code.         More info can be found here: [https://gcc.gnu.org/gcc-10/porting_to.html]"""	Not Design
TIMOB	TIMOB-28144	Bug	Android: Changing to night mode (dark mode) does not update app UI	"Recently, the manual {{Alloy.CFG.styles.*}} colors have been moved to named colors, which is a big step!    One thing we noticed though is that if we change from light- to dark mode, the app does not change the styles automatically. Other native apps do so. In addition, it seems like the ""base styles"" do change (like action bar title), but all own defined colors do not."	Not Design
NEXUS	NEXUS-25468	Improvement	Add support for bearer token authentication to proxied upstream docker private repositories	"When configuring a  Docker proxy repository ""HTTP Authentication"" allows for ""Authentication type"" of ""Username""  and ""Windows NTLM"".      It would be useful to also support the Docker specific ""docker login"" AKA ""Docker Bearer Token"" authentication method.    *Acceptance*    NXRM administrators can configure Docker proxy repos to use Docker bearer token the authentication method with the upstream repository"	Design
JRASERVER	JRASERVER-71591	Suggestion	Bring back issue count and refresh on top of screen in issue navigator	"In older versions of Jira such as Jira 7.8.x (even as new as 8.5.4), the top area of issue navigator contains the total issue count and a refresh icon.    !image-2020-09-22-21-27-24-201.png|thumbnail!     However, in more recent version such as 8.11.x, this is no longer the case. Instead, it only shows at the bottom of the page.   !image-2020-09-22-21-28-44-466.png|thumbnail!     We would like to ask that total issue count and refresh icon appears on the top too.  "	Design
TIMOB	TIMOB-28129	Bug	iOS: Peek and pop should not be guarded by the SDK	"Currently, the peek and pop APIs are guarded by a {{\[Utils isForceTouchSupported\]}} check (which I added back in the days). This is wrong, because nowadays, Apple also allows peek and pop on long press, if force touch is not available. In addition, such checks should in general be performed by the developer (if wanted), not by the SDK.    Therefore, removing the guard fixes the bug for us.    PR: https://github.com/<USER>titanium_mobile/pull/12045"	Not Design
TIMOB	TIMOB-25041	New Feature	Add support for V8 custom startup snapshot	"Since Android runs on v8 engine since v6.0.0 of the SDK, a Titanium app can now take advantage of the v8 ""Custom startup snapshots"" feature, which allows adding pre-""compiled"" binary representation of the scripts heap, those making app boot time faster.    More on ""Custom startup snapshots"": https://v8project.blogspot.co.il/2015/09/custom-startup-snapshots.html    This technique is already implemented by other multi-platform frameworks as can be seen here https://www.nativescript.org/blog/improving-app-startup-time-on-android-with-webpack-v8-heap-snapshot"	Design
DM	DM-27146	Story	Write an lsp-deploy guide for bootcamp	"Write some text to explain what lsp-deploy is and how it works."	Design
JRASERVER	JRASERVER-69428	Suggestion	Jira should be able to add or create new status via a REST API endpoint	"h3. Problem Definition    When migrating issues from external trackers to Jira Server, it becomes very tedious to first have to create each of the issue statuses that you want to use before importing issues. For large environment that could have had several hundred different statuses in them it then takes a lot longer than it should to import this data correctly.  h3. Suggested Solution    Create REST API endpoint that allows users to create new statuses.  Currently the endpoint [GET /api/2/status|https://docs.atlassian.com/software/jira/docs/api/REST/8.2.1/#api/2/status-getStatuses] will return all statuses in Jira.  But there is no corresponding POST verb that could be used to create these same statuses via REST.    h3. Why this is important    Makes it easier to migrate data into Jira. CSV importer is not able to create new statuses within Jira, and the lack of a REST API endpoint to create a new status means more manual status creation work for an admin. With such a POST or PUT endpoint and admin could create a little REST script to simply call Jira and tell it specifically what statuses should be valid within that site.  h3. Workaround    none"	Design
CONFSERVER	CONFSERVER-60334	Bug	Color picker in edit mode malfunctions when frontend.editor.v4.disable is introduced in the dark-feature.	"h3. Problem    Color picker for cell color and text color in edit mode malfunctions when adding frontend.editor.v4.disable to dark feature,  h3. Environment    LInux   Postgres v9.6.14  h3. Steps to Reproduce   # Navigate to <[http://localhost:8090|http://localhost:8090/]>/admin/darkfeatures.action.   # Add *frontend.editor.v4.disable*.   # Open page.   # Open edit mode.   # Click on color picker for text or table cell.    h3. Expected Results    Color picker displays as expected   !Screen Shot 2020-07-22 at 11.44.35 AM.png|thumbnail!  h3. Actual Results    !confluence 7-5-2 color picker - table.png|thumbnail!    !confluence 7-5-2 color picker - text.png|thumbnail!    Color picker renders distorted.  h3. Workaround    Remove *frontend.editor.v4.disable* from dark features.   * Navigate to <[http://localhost:8090|http://localhost:8090/]>/admin/darkfeatures.action.   * Click remove for feature.    h3.  "	Not Design
DNN	DNN-7820	Story	DCC API - Default View/Edit template for File, Image, Page data type	"*Card*  As content editor I want be able to edit File, Image, Page data type in a friendly way    Currently these data type are defined as default data type but the system does not provide any nice UI/UX experience (see below)  !DataTypeFileImagePage.png!    We should define the expected default edit and view experience for these fields.    *Conversation*    *Confirmation*"	Design
DM	DM-27188	Improvement	Update cp_pipe pipeline definitions to match standards	"DM-27140 is standardizing the pipeline definition naming/usage.  This ticket will extend that to the cp_pipe definitions."	Design
JRASERVER	JRASERVER-71724	Suggestion	Add JIT information to SAML document	"In the last topic of [https://confluence.atlassian.com/enterprise/adding-saml-integration-to-your-existing-user-management-infrastructure-861244976.html#AddingSAMLintegrationtoyourexistingusermanagementinfrastructure-Usingyourapplication'sinternaldirectory] it says that the users have to be already created in Jira:  {quote}  Currently there is no automated way to synchronize users between internal directories and the SAML identity provider  {quote}    With the introduction of JIT (available in Jira 8.6+), we do provide have some automation for the users creation: [https://confluence.atlassian.com/enterprise/jit-user-provisioning-1005342579.html]    Please add a reference to Just-in-time user provisioning to the document, while making it clear that it's not available for Jira 8.5 (maybe it's worth to double-check with the devs and make it clear in the JIT docs too)"	Design
FAB	FAB-18092	Story	Add example for individual Orderer value updates	"Add an example to show migrating to etcdraft using the individual orderer update functions.     "	Design
SERVER	SERVER-51493	Task	"Revisit how config.transactions cloner for resharding blocks thread waiting for outstanding prepared transaction to resolve"	"""One option would be to schedule the callback on the Fetcher after the TransactionParticipant::onExitPrepare() future resolves. Another option would be to use a dedicated thread for the config.transactions cloner for resharding to prevent a liveness issue."""	Not Design
DM	DM-27162	Story	For LSSTCam do not include empty second filter in filter name	"In IHS-4230 we realized that the filters registered for LSSTCam do not include empty second filter in the name but the metadata translator does include ""~empty"" because it uses code that is shared with LATISS.    Fix LSSTCam metadata translation to drop the second filter from the filter name if it is ""empty""."	Not Design
DNN	DNN-10729	Bug	PB: Could not scroll in long tabs	"*+Steps:+*  # Login as host (DNN_Platform_9.2.0.341-696).  # From PB, got to settings, site settings.  # Try to scroll down.  # (You can also try that with any that requires scroll. For e.g. Mange users, while trying to add new user )    *+Result:+*  - You'll not be able to scroll down to access the items in the bottom of the tabs,  (Tried that on IE & chrome)    *+Expected:+*  - You should be able to scroll down when needed,     !image-2018-01-25-10-22-08-140.png|thumbnail!    !image-2018-01-25-10-22-37-342.png|thumbnail!    !image-2018-01-25-10-22-46-948.png|thumbnail! "	Not Design
DM	DM-27220	Story	Roll out robosimon to stable	"Robosimon (aka, mobu 1.0.3) has been such a hit let's put it on stable.  It just runs a small, so it shouldn't be taking a lot of load, and it only runs the prod notebooks."	Design
MULE	MULE-14736	Bug	Custom scheduler shutdown from a thread from the same scheduler fails	"This may lead to a memory leak of the scheduler's thread group when a scheduler is being cancelled from within one of its threads. This seems to be a common way for reactor to handle some situations.    When this happens, the stack leading to the shutdown call is:       "	Not Design
TIMOB	TIMOB-28158	Bug	iOS: Duplicate framework search paths	"The iOS build constructs a massive framework search path due duplicate search path entries and new recursive search path for XCFrameworks. Currently this does not cause any build failures but i suspect it unnecessarily slows down the build and makes it hard to dig through logs because they are spammed with search path options.    Example output for compiling a single ObjC source file:        This is a truncated message, it goes on and on for every subfolder in node_modules."	Not Design
FAB	FAB-18167	Bug	Raft active nodes flakey when switching follower to member	"At times, the active nodes reported by Raft are temporarily unstable. I've noticed this while working on an integration test where I add an OSN as a follower, wait for it to catch up, and then add it to the consenters set.     When the active nodes are incorrectly reported, I see the following (note the Check logs - one halfway down and one at the end):     You can see the leader initially reports the active nodes as [1 2 3] and then follows it up by reporting the active nodes of [1 2].          This causes problems when attempting to determine when a newly added consenter is truly active. Subsequent attempts to, for example, remove a consenter result in an incorrect failure:  "	Not Design
MESOS	MESOS-9722	Improvement	Refactor the sorter interface to enable lazy sorting.	"Currently, the only way for getting a sorted client from sorter is through:        This sorts all the active clients in the tree and returns all of them in a single vector. This is inefficient if the callers end up only needing a few of clients (e.g. when allocating one agent, only one or a few roles are allocated).    We could refactor the interface to return an iterator-like handle and then callers can query the next the client in the sorting order. This would pave the way for lazy sorting (i.e. only get the nth client) and improve performance."	Design
CONFSERVER	CONFSERVER-60419	Suggestion	Allow Search to Index the Content of MD Files	"At the moment, Confluence Search will look at and index the content of some attached file types (Word, Text, PowerPoint, Excel, PDF, and HTML), allowing users to search for content within these files.    While these are the most popular types of attachments, more and more users are utilizing Markdown (MD) files within their Confluence instances and would benefit from being able to search those files as well."	Design
TIMOB	TIMOB-28034	Bug	Android: Hyperloop-Examples app, Media player test does not play audio file	"When running the media player test no audio is played, it looks like no audio file is being able to be read at: https://github.com/<USER>hyperloop-examples/commit/d983520db7f10d2ad5209fce09b9f560621aa1f3#diff-1d51eeb19fffa018711f22184199d4eaR11         *Test Steps:*  # Download Hyperloop-examples app (https://github.com/<USER>hyperloop-examples/)  # Launch app   # Go to Media Player test    *Expected:*  Audio file should play.    *Actual result:*  Audio file does not play."	Not Design
FAB	FAB-15710	Story	Design & implement channel participation REST API - Join, Remove, and List channels	"With FAB-15708 and FAB-15709 implemented, an orderer can start without any genesis method, or any channels defined, but does nothing.      We need an API to be able to:    * Join this OSN to a new or an existing channel,  * Remove this OSN from an existing channel,  * List the channels this OSN is a member of.    This story is dedicated to the detailed design and implementation of the REST API of this feature, with the underlying behavior described in epic FAB-17712 and associated RFC. The REST API implementation will accept the queries defined and will transfer them to an abstract interface of the underlying implementation.    The first product of this task is a design document.    The REST API design is [HERE|https://docs.google.com/document/d/1kYoicS_Z59gNvmuuB7VFZ6WsOL31C34dWMeOFQiIygA/edit?usp=sharing]."	Design
DNN	DNN-10742	Improvement	Display of long page name is incorrect while selecting page name from dropdown field(s)	"The display of long page name under dropdown field(s) has to be improved.    *+Tested Environment:+*  *v. 09.02.00 (344) - 714*    *+Steps To Reproduce:+*  # Go to PB -> CONTENT -> Pages  # Click on one of the pages Eg. Home  # In Details tab -> Click on ""Parent Page"" dropdown and view the display of page with long name  # In Details tab -> Click on ""Existing"" radio button -> Click on ""Existing Page"" dropdown and view the display of page with long name    *+Expected Result:+*   !screenshot-1.png|thumbnail!     *+Actual Result:+*   !image-2018-02-03-17-01-52-071.png|thumbnail!    !image-2018-02-03-17-04-35-135.png|thumbnail! "	Design
SERVER	SERVER-51721	Bug	"dataSize do not reduce after chunks migrated"	"""Hi,    Recently I have noticed a issue after upgrading from 4.0.14 to 4.0.20    When using Mongo version 4.0.14, I have added 1 shard on top of existing 2 shards. turnedOn the balancer and chunks migrated to newly added shard (3rd) and I could see dataSize reduced on older shards, by using """"compact"""" I reclaimed storageSize after migration.         After upgrading to 4.0.20, I have added 1 more shard on top of 3 shards, turnedOn the balancer and chunks migrated to newly added shard (4th) and I did not notice dataSize reduced on older shards, I also verified by looking at """"file bytes available for reuse"""" on db.stats() and db.coll.stats() """	Not Design
DM	DM-27084	Story	Write the Test Framework of SAL LabVIEW API in Phase 3	"Write the test framework of SAL LabVIEW API. This task begins to construct a framework to test the LabVIEW API for each new SAL update. In the past, we used the component CSC in LabVIEW to test this. Now, we need a framework to test this automatically. The SAL LabVIEW APIs rely on the shared memory, which is not needed for the C++ and JAVA APIs. Therefore, this kind of automatic test framework should be helpful for the maintenance of CSC in LabVIEW. This task is in the phase 3.    Based on Dave, I should use the {{LSST_TEST_LVDEBUG}} instead of {{LSST_Test_LVDEBUG}} to get the debug message. The CSC name should be capitalized in environment variables."	Design
DNN	DNN-10814	Bug	SEO Urls for this page cannot be managed	"Admin Pages  Select A Page  Navigate to Advanced > SEO tab settings  Under ""Urls for this page"" you cannot change or edit existing urls    I have a page that I moved that keeps using the old URL portal.com/page/anotherpage/thepage  instead of portal.com/thepage and I cannot remove it or edit it and when I delete the page, empty it from recycle bin and try to recreate a fresh page that should have no references to these urls it still treats that new page (With the same page name as the one that would not allow removing or changing the urls for the page)    Is there any way I can remove the old urls manually so when someone types portal.com/thepage it does not keep a reference to portal.com/page/anotherpage/thepage?          "	Not Design
MULE	MULE-14766	Task	Allow error data to remain upon a raise	"Today, the raise error component only allows to customize the type and description of an error. This means that if it's thrown from an error handler there's no way to maintain the original error data. We should find a way to achieve that."	Not Design
MESOS	MESOS-10167	Bug	Mesos-websitebot fails due to wrong permissions of voulmes mounted into Docker container	"Last successful run was on Apr 7:  https://builds.apache.org/view/M-R/view/Mesos/job/Mesos-Websitebot/2464/    First failure:  https://builds.apache.org/view/M-R/view/Mesos/job/Mesos-Websitebot/2465/console    Build with added permissions dump   https://builds.apache.org/view/M-R/view/Mesos/job/Mesos-Websitebot/2525/console  shows that while the build scripts in the container are, as expected, running under ""tempuser"" (with the same uid as the user outside container which pulls the git repositories),  the directories with git repositories mounted into the container are owned by root:        Note that the Dockerfile specifies ""USER root"" https://github.com/apache/mesos/blob/master/support/mesos-website/Dockerfile and the permissions are dropped to the ""testuser"" only inside the entrypoint.sh script.  "	Not Design
MESOS	MESOS-8974	Improvement	Add support for JWK sets to handle multiple keys in JWT library	"Mesos should be able to support JWK sets (and deprecate the --jwt_secret_key flag?) in order to handle multiple keys (of any type) in the JWT library and allow smooth key rotations between two or more keys.    This would require implementing the following RFC: https://tools.ietf.org/html/rfc7517."	Design
CONFSERVER	CONFSERVER-60365	Bug	User macro is not working for open link in other window any more	"h3. Issue Summary    User macro is not working for open link in other window any more. However, it worked in Confluence 5.4 or 5.9.  h3. Steps to Reproduce   # In Confluence 7.4, insert a user macro like below to achieve open link in other window. The below macro worked in customer' environment (5.4), and my test environment (5.9).       # Using the above user macro to create link in a page    h3. Expected Results    The link will be opened in other browser window.  h3. Actual Results    The link will be opened in the same window  h3. Workaround    Lots of ways can achieve open link in other windows.   * Using HTML macro (it worked for ver 7.4 by test)   * Using 3rd party plugin   ** [Linking for Confluence|https://marketplace.<USER>plugins/net.customware.confluence.plugin.linking]   ** [External Links for Confluence|https://marketplace.<USER>plugins/ch.bitvoodoo.confluence.plugins.externallinks]   * More information in CONFSERVER-11194: Open links in new window"	Not Design
FAB	FAB-17891	Story	Channel participation REST API - misc.	"Support additional Mime types.    Optionally add support for Content-Type application/octet-stream and/or application/json, in case it is requested by users."	Not Design
